year,category_en,revenue,share_in_year_pct,rank_in_year
2018,fashion_underwear_beach,2409.1,0.03,59
2018,fashion_male_clothing,2301.87,0.03,60
2018,furniture_mattress_and_upholstery,1775.1,0.02,61
2018,arts_and_craftmanship,1662.12,0.02,62
2018,diapers_and_hygiene,1289.89,0.02,63
2018,tablets_printing_image,1267.96,0.02,64
2018,dvds_blu_ray,1132.71,0.02,65
2018,flowers,839.54,0.01,66
2018,pc_gamer,786.99,0.01,67
2018,la_cuisine,781.0,0.01,68
2018,fashio_female_clothing,616.66,0.01,69
2018,fashion_sport,369.5,0.01,70
2018,fashion_childrens_clothes,169.97,0.0,71
2018,home_comfort_2,151.09,0.0,72
2018,cds_dvds_musicals,65.0,0.0,73
